id	subject	text	content	date	priority
13	Urgent: Tax Filing Deadline Approaching	Attention Taxpayers: The deadline for filing taxes is approaching. Make sure to submit your returns before the due date: 07/04/2024.	Urgent: Tax Filing Deadline Approaching Attention Taxpayers: The deadline for filing taxes is approaching. Make sure to submit your returns before the due date: 07/04/2024.	07/04/2024	35
7	Urgent: Loan Approval Needed	Hi: We need your immediate attention regarding the approval of our loan application. Kindly expedite the process by 08/04/2024.	Urgent: Loan Approval Needed Hi: We need your immediate attention regarding the approval of our loan application. Kindly expedite the process by 08/04/2024.	08/04/2024	34
20	Urgent: Account Security Alert	Attention Account Holders: We have noticed unusual activity on your account. Please review your transactions immediately.	Urgent: Account Security Alert Attention Account Holders: We have noticed unusual activity on your account. Please review your transactions immediately.		25
1	Urgent: Payment Confirmation	Dear Customer: Please confirm the payment for the invoice #123456. Your prompt response is highly appreciated.	Urgent: Payment Confirmation Dear Customer: Please confirm the payment for the invoice #123456. Your prompt response is highly appreciated.		25
15	Important: Board Meeting Agenda	Board Members: Attached is the agenda for our upcoming board meeting. Your attendance and input are necessary.	Important: Board Meeting Agenda Board Members: Attached is the agenda for our upcoming board meeting. Your attendance and input are necessary.		23
6	Important: Budget Meeting Agenda	Team: Please find attached the agenda for our upcoming budget meeting. Your attendance is crucial.	Important: Budget Meeting Agenda Team: Please find attached the agenda for our upcoming budget meeting. Your attendance is crucial.		23
19	Important: Annual Budget Review	Team: We need to conduct a thorough review of the annual budget. Please ensure availability for the meeting next week.	Important: Annual Budget Review Team: We need to conduct a thorough review of the annual budget. Please ensure availability for the meeting next week.		23
31	Task Reminder: Deadline Approaching	Hi Team: Just a reminder that the deadline for Task A is approaching. Let's ensure timely completion.	Task Reminder: Deadline Approaching Hi Team: Just a reminder that the deadline for Task A is approaching. Let's ensure timely completion.		21
8	Deadline Extension Request	Hello: I'm requesting an extension on the deadline for project XYZ due to unforeseen circumstances.	Deadline Extension Request Hello: I'm requesting an extension on the deadline for project XYZ due to unforeseen circumstances.		21
91	Task Reminder: Deadline Approaching	Hi Team: Just a reminder that the deadline for Task A is approaching. Let's ensure timely completion.	Task Reminder: Deadline Approaching Hi Team: Just a reminder that the deadline for Task A is approaching. Let's ensure timely completion.		21
61	Task Reminder: Deadline Approaching	Hi Team: Just a reminder that the deadline for Task A is approaching. Let's ensure timely completion.	Task Reminder: Deadline Approaching Hi Team: Just a reminder that the deadline for Task A is approaching. Let's ensure timely completion.		21
2	Important: Quarterly Financial Report	Hi Team: Attached is the quarterly financial report for review. Please provide your feedback by EOD Friday.	Important: Quarterly Financial Report Hi Team: Attached is the quarterly financial report for review. Please provide your feedback by EOD Friday.		18
11	Important: Year-End Financial Statements	Team: It's crucial to finalize and submit the year-end financial statements by the end of the month.	Important: Year-End Financial Statements Team: It's crucial to finalize and submit the year-end financial statements by the end of the month.		18
50	Client Follow-up: Proposal Submission	Hi Client: Following our recent discussion I'm following up on the submission of the proposal. Please let me know if you need any further information by 12/04/2024.	Client Follow-up: Proposal Submission Hi Client: Following our recent discussion I'm following up on the submission of the proposal. Please let me know if you need any further information by 12/04/2024.	12/04/2024	10
33	Client Meeting Preparation	Hi Team: Let's prepare for the upcoming client meeting scheduled for next Wednesday. Review the agenda and come prepared by 16/04/2024.	Client Meeting Preparation Hi Team: Let's prepare for the upcoming client meeting scheduled for next Wednesday. Review the agenda and come prepared by 16/04/2024.	16/04/2024	6
55	Networking Event Reminder	Hello: Just a reminder about the upcoming networking event this Friday. Don't forget to bring your business cards!	Networking Event Reminder Hello: Just a reminder about the upcoming networking event this Friday. Don't forget to bring your business cards!		5
57	Meeting Request: Quarterly Review	Hi Team: Let's schedule a meeting to conduct the quarterly review of our department's performance. Please suggest suitable dates.	Meeting Request: Quarterly Review Hi Team: Let's schedule a meeting to conduct the quarterly review of our department's performance. Please suggest suitable dates.		5
70	Feedback Request: Website Redesign	Hi Team: We're seeking feedback on the proposed design changes for the website redesign project. Please review and share your thoughts.	Feedback Request: Website Redesign Hi Team: We're seeking feedback on the proposed design changes for the website redesign project. Please review and share your thoughts.		5
53	Feedback Request: Marketing Campaign	Hello Marketing Team: We're seeking feedback on the recent marketing campaign. Please review and share your thoughts.	Feedback Request: Marketing Campaign Hello Marketing Team: We're seeking feedback on the recent marketing campaign. Please review and share your thoughts.		5
